昵称,月连接用户数(W),月深度用户数(W),星图id,内容垂类,粉丝量,60s以上视频报价,男性粉丝比例,24-30岁粉丝比例,31-40岁粉丝比例,41-50岁粉丝比例,50岁以上粉丝比例,星图指数,性价比指数,预期播放量,互动率,完播率,预期CPE,预期CPM,总分,等级
汽车人老张,,22.1,7.14239E+18,汽车,2204613,42000,0.54,0.02,0.06,0.05,0.86,56.68,66.59656368,13057,0.4342,0.0309,7.408257462,3216.67,7.8,A级
游亦,,2.8,7.10429E+18,汽车,2484580,86666,0.47,0.06,0.42,0.25,0.14,46.67,43.65261216,10627,0,,8.6666E+13,8155.26,3.6,C级
窝是饭饭,,18.6,6.80113E+18,汽车,1931597,100000,0.53,0.02,0.11,0.33,0.54,63.87,44.02722365,9413,1,0.0217,10.62360565,10623.61,6.1,B级
重庆彬彬车行销售有限公司,,326.4,6.72345E+18,汽车,2967610,100000,0.85,0.29,0.47,0.13,0.04,74.19,72.05067621,505585,0.0107,0.0924,18.48511011,197.79,10.1,S级
车玩君,,279.4,6.76125E+18,汽车,2395550,100000,0.34,0.04,0.52,0.19,0.22,74.8,63.78710652,4050,0.0131,0.1123,1884.83649,24691.36,9.1,A级
我的暴躁淘,,76.8,7.08656E+18,"剧情搞笑, 汽车, 生活",1716196,80000,0.8,0.34,0.25,0.05,0.02,76.13,75.03442793,322238,0.0184,0.0977,13.4925927,248.26,12.1,S级
崔说房车,,6,6.62966E+18,汽车,2242684,35300,0.72,0.12,0.44,0.28,0.13,61.29,60.88282394,20195,0.0058,0.1602,301.3719681,1747.96,7.2,A级
喀什浓眉哥,,659.7,6.72893E+18,美食,1855198,39900,0.89,0.27,0.37,0.11,0.03,86.34,71.42124828,1524988,0.0191,0.0593,1.369850278,26.16,14.6,S级
🔥抖音正能量🔥,,8.3,6.8553E+18,汽车,1740961,50000,0.51,0.02,0.1,0.18,0.68,61.19,66.23680802,6702,0.006,0.1251,1243.409927,7460.46,6.6,B级
玩车小留,,70.9,6.87017E+18,"汽车, 美食",2345914,60000,0.7,0.18,0.45,0.14,0.1,70.58,69.67007468,0,0,,6E+13,,7.4,A级
大山的阿豪,,555.4,6.96351E+18,生活,2893854,74000,0.96,0.28,0.51,0.13,0.02,77.49,73.89769473,4373247,0.0151,0.0787,1.12060038,16.92,15.6,S级
抖科技,,74.6,6.67525E+18,"汽车, 科技数码",2264420,68000,0.71,0.17,0.44,0.21,0.08,58.57,66.55299053,89879,0.0182,0.9209,41.56992998,756.57,8.8,A级
驾考小鱼教练,,2.5,6.87017E+18,汽车,1944043,13300,0.65,0.11,0.4,0.3,0.16,60.78,65.61778405,29892,0.0158,0.0773,28.16044935,444.94,9.4,A级
车次元,,1.1,6.87017E+18,汽车,2169613,103000,0.62,0.2,0.53,0.17,0.07,59.4,67.07737036,4818,0.0137,0.0155,1560.450016,21378.17,8,A级
车圈昊哥,,1503,6.62966E+18,汽车,1773020,50000,0.74,0.28,0.42,0.14,0.04,48.64,40.82348097,13620,0,,5E+13,3671.07,4.6,C级
海哥说车,,1.7,6.62972E+18,汽车,2748489,65000,0.7,0.17,0.49,0.24,0.08,51.73,46.01903367,0,0,,6.5E+13,,4.6,C级
冰冰教练,,1867,6.68182E+18,汽车,2373708,0,0.56,0.13,0.37,0.28,0.18,54.46,65.91799378,26566,0,,0,,7.6,A级
小媛有车,,191.9,7.00801E+18,"汽车, 颜值达人",2275480,80000,0.68,0.31,0.33,0.08,0.04,70.96,0,77939,0.0328,0.1015,31.29401699,1026.44,9.6,A级
小李教练,,3,6.62966E+18,汽车,2358032,30000,0.43,0.19,0.39,0.23,0.1,59.52,59.56327782,0,0,,3E+13,,3.1,C级
长颈鹿说车,,3.9,7.2518E+18,汽车,2136104,120000,0.61,0.16,0.42,0.12,0.15,46.01,0,11286,1,0.0254,10.63264221,10632.64,7.5,A级
壹一语车,,3.8,7.20223E+18,汽车,2484761,75000,0.57,0.03,0.11,0.2,0.65,56.94,0,9949,0.507,0.012,14.86872993,7538.45,5.5,B级
一个辣cc,,4.1,7.16438E+18,汽车,1830434,45000,0.52,0.02,0.05,0.08,0.84,52.08,0,8723,0.592,0.0137,8.714148058,5158.78,6,B级
车圈小饭粒,,10.2,7.24369E+18,汽车,2953639,70000,0.55,0.21,0.38,0.17,0.07,60.33,0,34526,0.572,0.0303,3.544506238,2027.46,10.4,S级
刘子恒Lockie,,2.6,6.87017E+18,"时尚, 汽车, 颜值达人",2797171,65000,0.58,0.05,0.21,0.24,0.49,39.33,39.60328826,1270,1,0.0444,51.18110236,51181.1,5.7,B级
王漂亮说车🌷,,197.7,6.85482E+18,汽车,2544888,30000,0.43,0.21,0.43,0.15,0.08,69.46,72.89427712,75988,0.0071,0.1497,55.60551814,394.8,6.1,B级
NMNP陈璟,,9929,6.87017E+18,汽车,2268056,80000,0.43,0.02,0.05,0.06,0.86,45.15,0,4111,0,,8E+13,19459.99,1.1,C级
陈的住气🌟,,2757,6.67528E+18,汽车,1736605,0,0.23,0.23,0.61,0.08,0.04,53.02,41.89513177,9778,0.0024,0.0232,0,,5.4,B级
猫宁（说车版）,,2.9,7.19819E+18,汽车,1752144,60000,0.94,0.3,0.17,0.04,0.02,59.34,0,4791,0.2336,0.0167,53.61079421,12523.48,7,B级
白凌镜驾考咨询,,34.6,6.62972E+18,汽车,2088527,65200,0.46,0.2,0.4,0.22,0.1,65.6,66.21592536,30191,0.0085,0.0318,254.0687038,2159.58,8.4,A级
郑铁头,,31.2,6.62966E+18,"其他, 汽车",2835139,0,0.8,0.21,0.47,0.17,0.07,61.86,65.26143053,393864,0,,0,,8.2,A级
涛涛驾考,,3.7,6.87017E+18,汽车,1794139,0,0.48,0.14,0.43,0.28,0.12,61.59,63.11067899,0,0,,0,,7.2,A级
驾考-戴教练,,12.1,6.70412E+18,汽车,1997278,0,0.45,0.13,0.38,0.3,0.14,69.77,66.10702972,0,0,,0,,7.2,A级
玩车的马赫,,660.3,7.03496E+18,颜值达人,2925147,60000,0.9,0.21,0.17,0.06,0.05,80.6,60,200675,0.0236,0.325,12.66910617,298.99,9.1,A级
Mr.大G,,12.2,7.24184E+18,汽车,2842482,78000,0.28,0.06,0.39,0.2,0.18,62.94,0,5345,0.6408,0.0425,22.7732173,14593.08,6.4,B级
是橘宝呀,,10.2,7.2388E+18,汽车,2485596,40000,0.48,0.06,0.3,0.34,0.29,61.5,0,10325,0.163,0.0069,23.76743564,3874.09,4.8,C级
刘教练驾考汽车小知识,,2.3,6.62966E+18,汽车,2583717,42400,0.44,0.13,0.38,0.29,0.17,62.25,65.19425038,0,0,,4.24E+13,,4.2,C级
说车的马王爷,,21.6,7.05738E+18,汽车,2197439,100000,0.88,0.15,0.56,0.21,0.06,65.87,69.86136014,43326,0.426,0.0244,5.418034991,2308.08,9.6,A级
旭婷爱玩车,,12.3,6.68957E+18,汽车,1935733,120000,0.6,0.23,0.44,0.18,0.06,48.64,60.19102306,71163,0.1452,1,11.61342665,1686.27,8.3,A级
一婕Sherry,,5.5,7.13618E+18,旅行,2861927,135000,0.56,0.05,0.5,0.22,0.19,52.09,51.45540809,18727,0.4554,0.1875,15.82969444,7208.84,8.3,A级
西瓜与车,,30.2,7.2612E+18,汽车,2020511,120000,0.83,0.24,0.43,0.15,0.04,63.42,0,16131,0.0712,0.0275,104.4816353,7439.09,7.6,A级
大婷宝说车,,1.1,7.18067E+18,汽车,2340579,55000,0.47,0.02,0.12,0.29,0.56,43.11,0,9090,0.3817,0.003,15.85172927,6050.61,3.7,C级
刘潇潇,,2193,6.94793E+18,"旅行, 汽车",2527447,85000,0.54,0.02,0.09,0.16,0.72,49.43,63.89569736,40626,0,,8.5E+13,2092.26,3.6,C级
爱德华车库,,31.9,6.66075E+18,汽车,2210234,35000,0.71,0.2,0.33,0.16,0.05,68.84,43.51541911,83404,0.0605,0.1043,6.936266806,419.64,9.4,A级
迪拜帅帅,,21.4,6.62966E+18,汽车,1731858,5900,0.67,0.12,0.41,0.25,0.16,69.48,66.17076734,25109,0.0133,0.2146,17.66733134,234.98,9.9,A级
小羊慢点开,,11.3,7.22622E+18,汽车,2494115,150000,0.52,0.02,0.05,0.04,0.88,47.17,0,13623,0.5858,0.0068,18.79616008,11010.79,4.7,C级
秋名山阿May,,353.2,7.28049E+18,汽车,1885283,45000,0.47,0.1,0.52,0.28,0.09,75.08,0,72502,0.0353,0.1319,17.58279131,620.67,9.1,A级
车圈宋美丽,,131.6,7.23366E+18,汽车,2909061,100000,0.67,0.07,0.4,0.36,0.16,78.85,0,40813,0.0466,0.053,52.57939252,2450.2,9.6,A级
程大炮说车,,92.9,7.27445E+18,汽车,2127992,50000,0.83,0.18,0.45,0.22,0.09,67.04,0,23405,0.3184,0.1074,6.709471304,2136.3,9.4,A级
说车的阿维,,50.3,6.67371E+18,汽车,2471580,47000,0.76,0.26,0.33,0.11,0.03,70.83,85.07264049,30445,0.1895,0.0445,8.146530077,1543.77,14.6,S级
未来动力,,52.9,7.25739E+18,汽车,2086284,150000,0.52,0.02,0.05,0.04,0.89,64.88,0,13439,0.032,0.1351,348.7982737,11161.54,6.4,B级
田梓凝,,2.4,7.25369E+18,汽车,2185586,45000,0.57,0.07,0.44,0.21,0.17,50.08,0,3826,1,0.0276,11.76163095,11761.63,7.5,A级
你的君吖🍭,,936,7.14136E+18,汽车,1916998,50000,0.72,0.05,0.42,0.27,0.13,49.15,55.18112051,14675,0,,5E+13,3407.16,4.6,C级
赵雪晴,,30.5,6.86303E+18,汽车,1862014,27600,0.96,0.29,0.38,0.11,0.05,67.33,68.12362396,33766,0.0645,0.0324,12.67271743,817.39,9.9,A级
秋裤chillcool,,6.5,6.76766E+18,汽车,1790975,60000,0.73,0.23,0.38,0.12,0.07,60.9,66.48196283,0,0,,6E+13,,6.2,B级
老k玩车,,3.1,6.87017E+18,汽车,2184261,80000,0.8,0.03,0.17,0.33,0.47,51.43,60,8204,0,,8E+13,9751.34,3.1,C级
小 鹏,,21.9,6.62966E+18,"汽车, 生活",1964843,6999,0.41,0.18,0.43,0.18,0.11,69.3,84.39683952,18374,0.0269,0.1314,14.16054608,380.92,11.4,S级
阿源在车里,,51.5,6.8174E+18,汽车,2334108,100000,0.76,0.14,0.46,0.27,0.1,66.59,81.81252069,19831,0.2322,0.06,21.7166669,5042.61,10.4,S级
非凡小龙哥,,137.6,7.27743E+18,"旅行, 汽车",2813794,120000,0.62,0.12,0.43,0.24,0.13,65.18,0,11720,0.0069,0.0686,1483.899688,10238.91,7.6,A级
潮车研究所,,12.8,7.0865E+18,汽车,2508435,60000,0.75,0.03,0.19,0.38,0.4,62.66,0,10700,0.3718,0.033,15.08197051,5607.48,7.4,A级
发车吧 陈师傅,,19.1,6.62966E+18,汽车,1861445,45000,0.63,0.12,0.39,0.22,0.09,71.8,62.39581808,8634,0.0166,0.0781,313.9730569,5211.95,9.6,A级
小崔说车,,2659,7.26228E+18,汽车,2045173,70000,0.16,0.07,0.35,0.31,0.26,51.51,0,6297,0,,7E+13,11116.4,2.6,C级
莫言爱分享,,37.9,6.79465E+18,汽车,2599095,18400,0.73,0.04,0.26,0.36,0.33,77.97,79.78317241,2836,0.0061,0.1142,1063.608407,6488.01,9.8,A级
一汽红旗,,8.1,6.76831E+18,汽车,2086702,0,0.68,0.13,0.27,0.18,0.35,66.94,66.18134809,5829,0.0223,0.0175,0,,10.6,S级
东风日产,,756.3,6.68972E+18,汽车,2142810,0,0.62,0.11,0.32,0.2,0.34,81.43,67.28837781,7450,0.0015,0.0513,0,,11,S级
上海五菱汽车,,29.8,6.85378E+18,汽车,1719551,0,0.88,0.1,0.4,0.31,0.17,68.1,69.65375649,14287,0.0056,0.1945,0,,10.2,S级
30秒喷车,,1445,6.74473E+18,汽车,2431465,0,0.91,0.28,0.45,0.14,0.05,78.52,69.24561365,18652,0.0061,0.1586,0,,11.8,S级
哈弗SUV,,83,6.64999E+18,汽车,2606409,0,0.63,0.1,0.27,0.18,0.41,68.81,66.69342591,5408,0.0551,0.0204,0,,9.6,A级
小牛说车,,1793,6.76402E+18,汽车,3434590,250000,0.9,0.36,0.35,0.08,0.03,86.24,83.82694728,5457836,0.0165,0.2902,2.776103047,45.81,16.6,S级
小商的拍车日记,,1805.8,7.07568E+18,"才艺技能, 汽车",3579877,330000,0.8,0.23,0.2,0.06,0.07,84.55,74.52687495,2994976,0.044,0.2191,2.50419369,110.18,14.1,S级
米朵米朵,,1218.1,6.74843E+18,汽车,4868311,165000,0.81,0.21,0.5,0.16,0.05,82.49,73.163376,2114947,0.019,0.191,4.106112601,78.02,13.1,S级
Mr.刘然,,1419.6,6.73029E+18,汽车,3711766,220000,0.91,0.32,0.43,0.07,0.03,83.19,72.81952701,1115299,0.0155,0.0717,12.72622713,197.26,10.1,S级
焊工大林子,,232.3,6.81431E+18,汽车,3895645,120000,0.93,0.28,0.4,0.12,0.02,75.64,67.21176953,1245785,0.0219,0.1278,4.398393025,96.32,12.1,S级
终极小腾,,2438.7,6.80557E+18,汽车,4515609,430000,0.78,0.34,0.21,0.04,0.02,86.49,67.20975494,4891356,0.0497,0.0825,1.768816555,87.91,13.1,S级
阿科车生活,,1857.4,6.85962E+18,汽车,3162965,75000,0.86,0.15,0.38,0.24,0.15,86.61,93.25464435,678212,0.0094,0.139,11.76435009,110.58,14.6,S级
超老师,,1080.8,6.67456E+18,汽车,4065631,150000,0.93,0.26,0.48,0.14,0.06,80.19,72.00683445,403470,0.0116,0.1229,32.04955631,371.77,9.6,A级
张Enzo爱开车,,10.2,6.68036E+18,"汽车, 测评",4678167,230000,0.57,0.05,0.45,0.23,0.18,55.68,64.01098097,23263,1,0.0135,9.886944934,9886.94,9,A级
小阿兰修车🍒,,337.9,6.86788E+18,汽车,4203856,79000,0.91,0.14,0.43,0.28,0.12,85.58,89.92497806,774524,0.0164,0.1333,6.219398199,102,15.1,S级
小陈弟弟,,20.1,6.78272E+18,"汽车, 颜值达人",3977679,130000,0.54,0.04,0.44,0.25,0.17,63.36,64.08624634,58415,0.188,0.1146,11.8375308,2225.46,9.9,A级
3Gman·梁晓东,,646.7,6.70869E+18,汽车,3969490,108000,0.94,0.34,0.37,0.08,0.02,79.94,75.47326969,1231373,0.0148,0.0795,5.926146909,87.71,13.1,S级
玩车豆豆,,1177.1,6.82476E+18,汽车,3458768,108000,0.8,0.2,0.42,0.16,0.12,82.22,87.55934411,112312,0.0193,0.1647,49.82419441,961.61,13.6,S级
汽车特技yoyo,,329.6,6.62966E+18,"汽车, 测评",4380465,188000,0.78,0.21,0.5,0.17,0.05,78.5,67.04866565,784877,0.0215,0.2719,11.14083614,239.53,11.1,S级
牛哥只懂车,,269.6,6.8963E+18,汽车,3018691,90000,0.94,0.2,0.49,0.2,0.07,72.22,67.68715557,1012526,0.0168,0.0849,5.290869427,88.89,12.1,S级
安安教练,,207.7,6.92577E+18,汽车,3161823,120000,0.9,0.27,0.17,0.07,0.03,72.89,66.65186422,838648,0.0361,0.1617,3.96364115,143.09,13.1,S级
bosscai666,,2587,6.92023E+18,汽车,4980959,250000,0.96,0.22,0.52,0.16,0.04,56.06,79.42709338,3760629,0,,2.5E+14,66.48,7.6,A级
小雄说车,,194.4,6.62967E+18,汽车,4280561,100000,0.94,0.22,0.49,0.2,0.05,76.49,69.87585159,254856,0.0174,0.0766,22.55048512,392.38,10.6,S级
玩车教授,,619.6,6.74759E+18,"汽车, 测评",3416149,200000,0.67,0.1,0.3,0.16,0.39,78.82,45.43708821,72170,0.0421,0.0638,65.82504953,2771.23,9.6,A级
李老鼠说车,,299.8,6.69588E+18,汽车,3582975,150000,0.91,0.3,0.48,0.11,0.03,77.66,69.31932451,245645,0.047,0.116,12.99228302,610.64,11.1,S级
美少女车管所所长,,280.1,6.65967E+18,汽车,3286825,158000,0.15,0.42,0.12,0.03,0.05,77.41,72.20472988,1241,0.0191,0.0698,6665.794769,127316.68,7.6,A级
壹加壹汽车,,326,1.67892E+15,汽车,3552279,84100,0.93,0.21,0.51,0.19,0.06,76.18,68.89219643,431625,0.0104,0.0934,18.73510214,194.85,11.1,S级
车圈小倩,,5412,6.87017E+18,汽车,4177928,100000,0.46,0.1,0.43,0.24,0.21,45.96,0,2318,1,0.0268,43.14063848,43140.64,6,B级
小怡说车,,119.5,7.07937E+18,汽车,3335674,129000,0.93,0.22,0.32,0.13,0.17,74.13,70.24367922,61521,0.1345,0.0818,15.5899255,2096.84,11.1,S级
吴佩频道,,96.9,6.74872E+18,汽车,3854493,600000,0.72,0.16,0.42,0.17,0.15,69.7,67.9424604,42846,0.2558,0.0364,54.74449158,14003.64,9.4,A级
玩车报告,,487,6.70707E+18,汽车,3406192,220000,0.83,0.24,0.43,0.1,0.13,71.57,67.63384682,182476,0.0187,0.0136,64.47262041,1205.64,9.8,A级
小龙总说车,,200.1,6.89899E+18,汽车,4723259,98000,0.78,0.14,0.43,0.22,0.13,66.18,73.43584292,209020,0.0557,0.0438,8.417498295,468.85,11.4,S级
林哥撩车,,344.5,6.83132E+18,汽车,3722111,75000,0.87,0.12,0.4,0.29,0.16,75.87,90.68513375,306617,0.0103,0.2305,23.74804201,244.6,13.6,S级
玩车的麦昆,,279,6.70888E+18,汽车,4196723,70000,0.44,0.06,0.4,0.26,0.23,77.79,65.77279959,39981,0.0561,0.0523,31.20912023,1750.83,8.6,A级
飞叔玩车,,457.3,6.74096E+18,汽车,3219809,100000,0.91,0.16,0.46,0.26,0.09,77.46,87.81204166,230400,0.0135,0.106,32.15020576,434.03,13.6,S级
陆十六LK,,151.3,6.83497E+18,汽车,3056543,120000,0.92,0.2,0.45,0.2,0.1,79.54,70.59426849,79920,0.0276,0.5789,54.40222832,1501.5,10.6,S级
爱车的大杨,,188.4,6.62973E+18,汽车,4250487,146300,0.87,0.2,0.46,0.19,0.06,79.84,72.32535651,94267,0.0124,0.0896,125.1592508,1551.97,9.6,A级
甜芯车评,,106.1,6.92936E+18,汽车,3379412,75000,0.58,0.02,0.07,0.13,0.78,73.16,65.44633272,20434,0.1445,0.0537,25.40036908,3670.35,8.6,A级
法拉利文,,1013.3,6.75495E+18,汽车,3356825,100000,0.79,0.22,0.36,0.14,0.12,82.99,71.79602951,161196,0.0125,0.0826,49.62902305,620.36,10.6,S级
主持人星宁,,126.3,6.77809E+18,汽车,3810220,110000,0.89,0.16,0.45,0.26,0.09,72.53,71.36626889,101262,0.0419,0.0982,25.9257997,1086.29,10.6,S级
玩车研习社,,173,6.81041E+18,汽车,3374655,60000,0.94,0.32,0.45,0.09,0.01,74.4,70.82292461,216105,0.0082,0.0614,33.85887958,277.64,10.6,S级
老白不喝酒G.E.D,,1784.5,6.62966E+18,汽车,3252026,200000,0.93,0.39,0.2,0.03,0.02,83.71,67.69439502,6300131,0.0318,0.0688,0.998282127,31.75,14.6,S级
懂车小黑,,122.5,6.79182E+18,"汽车, 测评",3943561,120000,0.63,0.12,0.37,0.31,0.18,76.57,70.53221907,48243,0.394,0.025,6.313217004,2487.41,10.8,S级
鹿姐说车,,263.6,6.6779E+18,"汽车, 测评",4681003,140000,0.54,0.19,0.47,0.21,0.08,74.48,65.90417299,184741,0.0384,0.0863,19.73483598,757.82,11.1,S级
阿康爱玩车,,246.1,7.2341E+18,汽车,3005047,110000,0.85,0.21,0.42,0.16,0.07,74.67,0,35890,0.0274,0.2653,111.8584157,3064.92,9.6,A级
雨哥讲车,,49,6.67822E+18,汽车,4250294,106000,0.5,0.12,0.44,0.26,0.16,69.78,64.74089495,39087,0.1444,0.0512,18.78046466,2711.9,9.9,A级
房车旅行,,95.8,6.72522E+18,汽车,3551281,50000,0.63,0.14,0.44,0.22,0.13,69.3,68.40047009,81127,0.01,0.0468,61.63176255,616.32,9.4,A级
飞飞舰长,,44.4,6.6184E+18,汽车,3306256,150000,0.71,0.09,0.43,0.19,0.17,68.38,66.98194113,215530,0.0552,0.0521,12.60794926,695.96,9.9,A级
汽车之家,,323.3,6.67593E+18,汽车,3023245,80000,0.84,0.29,0.46,0.1,0.09,78.58,66.10333406,6265,0.0131,0.0864,974.7598131,12769.35,10.6,S级
森哥GeekSen,,30.3,6.80573E+18,剧情搞笑,4523555,250000,0.52,0.04,0.5,0.19,0.24,63.8,66.97767401,194546,0.2876,0.0674,4.468161078,1285.04,10.4,S级
紫萱,,4.5,7.26303E+18,"旅行, 汽车, 生活",3119130,119999,0.64,0.06,0.4,0.18,0.19,52.9,0,150505,0.5162,0.0047,1.544573924,797.31,8.2,A级
浪凯justin,,6,7.1788E+18,汽车,3978842,100000,0.43,0.03,0.09,0.2,0.68,58.12,0,106048,0.3831,0.0069,2.461417963,942.97,4.7,C级
有塘的地方有梦想,,831,6.72943E+18,汽车,3767990,50000,0.69,0.09,0.41,0.33,0.16,54.51,58.92976757,20349,0,,5E+13,2457.12,4.6,C级
玩车女团,,7944,7.23002E+18,汽车,3004729,125000,0.65,0.03,0.46,0.26,0.18,50.79,0,12880,0.1573,0.0093,61.69719608,9704.97,6.6,B级
汪晨,,14.3,7.16768E+18,生活,4816138,100000,0.56,0.02,0.07,0.14,0.77,55.47,0,26945,0.5616,0.0546,6.608375508,3711.26,6.8,B级
东仔说车,,1564,6.68328E+18,汽车,4455292,60000,0.55,0.03,0.49,0.26,0.15,51.37,54.03431552,5674,0,,6E+13,10574.55,4.6,C级
没啥用科技,,175.8,6.88049E+18,"汽车, 科技数码",3909770,200000,0.91,0.32,0.33,0.07,0.01,72.32,68.46157167,1954767,0,,2E+14,102.31,7.9,A级
小宝～,,6793,6.85991E+18,汽车,4576604,62000,0.54,0.07,0.23,0.2,0.46,56.39,59.56459475,0,0,,6.2E+13,,3.6,C级
旅行家Jason,,39.3,6.79997E+18,"旅行, 汽车",4091169,100000,0.54,0.19,0.27,0.12,0.1,67.16,68.37616981,23760,0.5154,0.0096,8.165995748,4208.75,9.2,A级
电动嘎,,27.5,7.22415E+18,汽车,3266132,120000,0.33,0.04,0.21,0.35,0.39,69.28,0,98266,0.0583,0.1734,20.94640099,1221.18,5.4,B级
科学时光机,,10.6,6.83593E+18,"汽车, 艺术文化",3592912,100000,0.8,0.23,0.43,0.14,0.05,64.77,65.53306088,89781,0,,1E+14,1113.82,6.2,B级
深圳湾王先森,,185.9,6.95247E+18,"剧情搞笑, 汽车",3537440,115000,0.5,0.03,0.24,0.3,0.42,69.61,87.34776165,19077,0.0308,0.1741,195.7208279,6028.2,10.9,S级
橙汐说车~,,6.1,7.20895E+18,汽车,4628884,100000,0.52,0.03,0.2,0.28,0.48,54.33,0,43142,0.2745,0.019,8.444177946,2317.93,6.5,B级
李师傅全国探店,,47.2,6.62966E+18,汽车,3268158,60000,0.67,0.2,0.42,0.13,0.13,69.05,69.42973892,109959,0.023,0.0616,23.7242577,545.66,9.4,A级
车梨子🍐,,3.9,7.25562E+18,汽车,4003874,145000,0.62,0.14,0.46,0.21,0.11,51.69,0,9583,1,0.035,15.13096108,15130.96,8.3,A级
船长来了,,8.1,7.25814E+18,"汽车, 科技数码",3105503,36000,0.56,0.04,0.5,0.23,0.18,52.2,0,4084,0.7472,0.0196,11.79722613,8814.89,7.5,A级
文哥说车,,9.7,6.61843E+18,汽车,3713141,60000,0.62,0.28,0.33,0.12,0.04,62.26,58.92976757,49563,0.0323,0.0492,37.47927162,1210.58,8.4,A级
陈震同学,,3022.3,6.81359E+18,汽车,5650145,500000,0.94,0.32,0.39,0.07,0.03,84.07,73.00659059,7815040,0.0181,0.1148,3.53476238,63.98,14.6,S级
八戒说车,,3411.7,6.75604E+18,汽车,19471270,450000,0.81,0.26,0.42,0.11,0.05,86.37,75.57907717,5163683,0.0231,0.1454,3.772601742,87.15,14.1,S级
盟主安全官,,1790,6.62966E+18,汽车,10859974,300000,0.87,0.12,0.44,0.28,0.13,85.1,72.4354813,3074693,0.0196,0.1789,4.978097797,97.57,11.1,S级
小刚学长,,2482.4,6.72833E+18,汽车,15466923,398000,0.88,0.3,0.39,0.1,0.04,86.25,91.06463441,4869907,0.0197,0.1201,4.148548563,81.73,15.1,S级
说车的阿飞,,3641.8,6.90344E+18,汽车,6306286,200000,0.77,0.27,0.35,0.09,0.06,85.49,74.68285239,2293676,0.0182,0.105,4.791004043,87.2,13.1,S级
5号车库阿张,,1012,6.9776E+18,汽车,6096056,150000,0.91,0.25,0.5,0.15,0.03,85.82,90.68170895,840185,0.0155,0.0843,11.51820058,178.53,14.1,S级
虎哥说车,,2247.6,6.67459E+18,汽车,29512045,600000,0.87,0.28,0.41,0.11,0.04,88.03,94.51856513,4398718,0.0198,0.1346,6.889059563,136.4,15.1,S级
聪哥说车,,5843.5,6.76868E+18,汽车,16513643,260000,0.67,0.19,0.38,0.24,0.11,86.67,73.73093947,5361522,0.0114,0.1214,4.253832689,48.49,13.6,S级
车坛老炮儿,,2128.6,6.62966E+18,汽车,14408770,380000,0.74,0.15,0.47,0.23,0.1,86.14,90.07905547,3522012,0.019,0.1552,5.678572361,107.89,15.1,S级
备胎说车,,1862,6.81198E+18,汽车,5903936,350000,0.94,0.29,0.44,0.14,0.05,83.48,85.81495978,296574,0.0095,0.0377,124.2256747,1180.14,13.6,S级
溜溜哥,,600.6,6.62615E+18,汽车,5884388,300000,0.93,0.38,0.32,0.05,0.01,80.47,72.00374629,1088714,0.0248,0.0588,11.111067,275.55,10.1,S级
毒辣车评,,990.3,6.8024E+18,汽车,11707791,650000,0.91,0.28,0.49,0.12,0.03,77.74,70.93721704,704310,0.0241,0.2406,38.29415223,922.89,10.6,S级
九方狸狸,,13.8,7.21026E+18,汽车,5798816,109000,0.49,0.03,0.17,0.28,0.5,61.36,0,16048,1,0.0234,6.792123629,6792.12,5.1,B级
老丈人说车,,1186.6,6.6184E+18,汽车,10195304,250000,0.61,0.19,0.46,0.17,0.1,83.71,70.00069429,846048,0.018,0.1278,16.41619493,295.49,11.1,S级
久牛星-牛哥说车,,1883.8,6.67115E+18,汽车,6191260,220000,0.92,0.27,0.48,0.14,0.05,81.18,76.94298112,2418454,0.0186,0.1238,4.890709928,90.97,13.1,S级
大鲜汽车讲堂,,2623.6,6.62966E+18,汽车,9914514,250000,0.91,0.18,0.47,0.22,0.09,84.83,91.78382151,1770677,0.0064,0.2426,22.06077111,141.19,13.3,S级
玩车女神,,811.2,6.6184E+18,汽车,14664600,360000,0.64,0.24,0.46,0.14,0.07,78.58,69.96100383,1269182,0.0423,0.1593,6.705609044,283.65,11.6,S级
AMCC肌肉车会长,,847.6,6.69744E+18,汽车,7221755,240000,0.87,0.25,0.39,0.13,0.06,79.14,71.04570767,553793,0.0266,0.1536,16.29229042,433.37,11.1,S级
老爷车天鹰,,2505.2,6.87016E+18,汽车,5343577,135000,0.91,0.12,0.41,0.29,0.16,85.16,74.7344049,1176703,0.0197,0.04,5.82372262,114.73,13.1,S级
Bimmer·温锦宏,,1327.9,6.74641E+18,汽车,6302778,158000,0.89,0.27,0.41,0.12,0.06,86.79,93.92482823,1671377,0.0115,0.1181,8.220246201,94.53,15.1,S级
车事纪,,1732.1,6.87016E+18,汽车,6405095,280000,0.96,0.25,0.47,0.15,0.05,81.09,81.55289022,1187633,0.0178,0.1601,13.24511619,235.76,12.1,S级
叶先生的vlog,,4,7.18587E+18,汽车,5837211,169999,0.42,0.05,0.24,0.23,0.45,58.58,0,29904,0.9003,0.0138,6.314367181,5684.82,5,B级
董威君Vin,,43.5,6.7295E+18,汽车,6686605,275000,0.46,0.06,0.47,0.22,0.21,71.21,44.69212116,279982,0.4046,0.0364,2.427597625,982.21,10.6,S级
晓北-城市私家车,,585.3,6.72674E+18,汽车,8554663,230000,0.75,0.21,0.43,0.19,0.11,83.04,75.2671223,660875,0.0335,0.0847,10.38875981,348.02,12.1,S级
