昵称,月连接用户数(W),月深度用户数(W),星图id,内容垂类,粉丝量,60s以上视频报价,男性粉丝比例,24-30岁粉丝比例,31-40岁粉丝比例,41-50岁粉丝比例,50岁以上粉丝比例,星图指数,性价比指数,预期播放量,互动率,完播率,预期CPE,预期CPM,总分,等级
车圈涵总,,1.3,6.67897E+18,汽车,1652306,50000,0.82,0.22,0.49,0.19,0.05,55.71,54.49295388,21688,0.1983,0.0043,11.62593219,2305.42,6.7,B级
说车老王【评车】,,80.2,6.74868E+18,汽车,1381347,40000,0.89,0.11,0.4,0.31,0.16,69.66,87.6134881,4856,0.0041,0.032,2009.081046,8237.23,11.2,S级
一台车也是批发价,,56.4,7.00703E+18,汽车,1250659,9600,0.86,0.18,0.51,0.22,0.07,68.18,67.21917315,31313,0.0053,0.2198,57.84564733,306.58,8.2,A级
庄安生,,,7.03218E+18,汽车,1215235,40000,0.58,0.02,0.06,0.07,0.84,44.05,64.15209349,4332,1,0.0285,9.233610342,9233.61,7,B级
十三先生Studio,,2.9,6.95612E+18,汽车,1696916,200000,0.5,0.03,0.14,0.24,0.57,52.44,43.57883419,1873,0.0077,0.0078,13867.60597,106780.57,3.8,C级
说车的熊哥,,6.3,6.80576E+18,汽车,1644159,100000,0.68,0.24,0.3,0.14,0.05,63.95,58.39249814,137762,0.3405,0.0027,2.131834296,725.89,8.8,A级
卡曼房车,,5.3,6.82896E+18,汽车,1424264,35000,0.69,0.16,0.44,0.18,0.12,63.86,67.12176766,4732,0.0075,0.0124,986.1932939,7396.45,7.8,A级
程远Cherio,,103.7,6.72009E+18,汽车,1316031,44700,0.44,0.11,0.43,0.3,0.14,72.71,69.80487452,4667,0.0192,0.2249,498.8482966,9577.89,8.6,A级
姜饼人,,0.8,6.87017E+18,汽车,1273663,35000,0.35,0.08,0.33,0.2,0.38,41.28,68.47381031,1036,1,0.0249,33.78378378,33783.78,6.5,B级
百变说车,,0.3,6.86358E+18,汽车,1691411,23000,0.74,0.17,0.34,0.21,0.19,54.07,65.0115839,7005,0.0247,0.0077,132.9299199,3283.37,7.6,A级
买车选车🚗冯教练,,3183.4,6.84552E+18,汽车,1260223,0,0.59,0.16,0.39,0.26,0.13,78.79,65.7555725,110812,0.0017,0.4238,0,,11,S级
野生试驾,,4.1,7.20816E+18,汽车,1366212,180000,0.76,0.16,0.5,0.23,0.08,52,0,3504,0.0046,0.0124,11167.36152,51369.86,5.8,B级
玩车女侠,,0.5,6.68252E+18,汽车,1480371,108500,0.48,0.08,0.3,0.31,0.28,51.38,34.7596541,0,0,,1.085E+14,,2.6,C级
小妍聊车,,8.2,7.26552E+18,汽车,1291344,30000,0.52,0.03,0.06,0.05,0.85,60.26,0,11115,0.739,0.0387,3.652307619,2699.06,8.4,A级
汽车黑作坊,,38.6,6.75044E+18,汽车,1383886,60000,0.91,0.31,0.41,0.1,0.02,64.23,67.02061908,0,0,,6E+13,,6.2,B级
之家特工队,,0.1,6.59668E+18,汽车,1366681,50000,0.81,0.28,0.45,0.1,0.09,49.94,51.19921303,10132,0,,5E+13,4934.86,4.6,C级
驾校-谢教练,,23.1,6.8627E+18,汽车,1386717,12300,0.47,0.14,0.4,0.27,0.12,67.64,63.90983449,100456,0.0122,0.0475,10.03620213,122.44,9.4,A级
玲妹来说车,,1.3,7.17443E+18,汽车,1341528,50000,0.58,0.04,0.47,0.24,0.19,51.91,0,6495,0,,5E+13,7698.23,4.6,C级
星星教练,,0.4,6.86663E+18,汽车,1329138,11200,0.48,0.15,0.49,0.25,0.08,58.22,62.64359744,11051,0,,1.12E+13,1013.48,3.6,C级
大宇说车,,2.1,6.75201E+18,汽车,1385822,32300,0.72,0.06,0.32,0.38,0.23,59.77,59.05147328,0,0,,3.23E+13,,3.6,C级
蛋儿仔说车,,0.1,6.9739E+18,汽车,1235223,40000,0.51,0.02,0.06,0.12,0.79,53.57,55.4246647,0,0,,4E+13,,2.6,C级
棒哥带你开挖机,,945,6.91387E+18,汽车,1492540,51000,0.94,0.25,0.45,0.15,0.06,78.73,71.45334062,3207426,0.0069,0.1216,2.30443488,15.9,13.8,S级
柳叔来了,,19.2,7.07261E+18,汽车,1252168,50000,0.84,0.25,0.5,0.16,0.05,61.1,66.82211615,0,0,,5E+13,,6.2,B级
卡车小啊妹,,303.1,6.87017E+18,生活,1374048,36900,0.97,0.21,0.54,0.18,0.03,78.91,74.30680788,2329830,0.0121,0.1034,1.308931028,15.84,15.6,S级
师傅别停车,,4.1,1.67963E+15,汽车,1228283,50000,0.58,0.02,0.17,0.37,0.44,58.78,66.34117307,2664,0,,5E+13,18768.77,3.6,C级
我是你雯姐_,,2.1,7.19552E+18,汽车,1633045,37700,0.64,0.13,0.41,0.21,0.1,40.33,0,2347,1,0.0724,16.06305922,16063.06,8.3,A级
天天旅行Lee,,1.1,7.15319E+18,"旅行, 汽车",1352087,28888,0.61,0.26,0.37,0.17,0.09,54.96,58.70929838,7663,0.1953,0.0144,19.30262647,3769.8,7.5,A级
小无恙,,12.3,6.74399E+18,汽车,1249948,0,0.64,0.23,0.51,0.16,0.04,73.26,78.10767339,1608,0.0038,0.1922,0,,12.4,S级
TWINS车管所,,8,7.2203E+18,汽车,1420543,55000,0.36,0.04,0.33,0.32,0.3,57.36,0,28766,0,0,5.5E+13,1911.98,2.1,C级
爱车课堂,,4.9,6.67852E+18,汽车,1282694,0,0.72,0.2,0.53,0.19,0.05,60.68,46.01711201,0,0,,0,,7.2,A级
妮妮的生活日记,,3.1,6.62966E+18,"旅行, 汽车",1510729,35800,0.61,0.05,0.47,0.24,0.15,48.62,31.64815154,6378,0.8816,0.0445,6.366883895,5613.04,8.8,A级
开车妮妮子,,133.5,7.25818E+18,汽车,1321767,60000,0.78,0.03,0.25,0.42,0.29,73.04,0,26397,0.0532,0.0574,42.7252926,2272.99,8.1,A级
隔壁王教练教育咨询,,2.9,6.78991E+18,汽车,1278410,0,0.4,0.23,0.43,0.18,0.07,63.09,61.42857796,0,0,,0,,5.7,B级
霖霖觅影,,1226.3,6.8783E+18,"影视娱乐, 汽车",1379132,18100,0.69,0.15,0.43,0.1,0.17,80.57,75.42742434,410395,0.009,0.0475,4.900427908,44.1,13.6,S级
科技狗,,17.1,6.62967E+18,"汽车, 测评, 科技数码",1505184,43000,0.45,0.04,0.5,0.22,0.19,67.55,65.20007232,11465,0.7165,0.0172,5.23453613,3750.55,8.6,A级
凯哥来说车,,3.8,7.26233E+18,汽车,1438553,45000,0.83,0.03,0.14,0.24,0.58,59.23,0,10908,0.3483,0.008,11.84442303,4125.41,5.1,B级
琳琳教练信息咨询服务,,1,6.86646E+18,汽车,1658968,3500,0.57,0.04,0.18,0.3,0.48,55.72,63.49535953,0,0,,3.5E+12,,4.1,C级
巴利帕斯&阿印,,5.2,6.62972E+18,"汽车, 随拍",1506663,50000,0.62,0.04,0.47,0.26,0.14,41.6,42.92642753,3759,1,0.0439,13.30140995,13301.41,8.3,A级
极速国霖,,21.3,6.87017E+18,汽车,1406972,42000,0.36,0.03,0.08,0.21,0.67,56.79,67.52181515,9227,0.8907,0.0522,5.110428512,4551.86,6.3,B级
星予晚风,,2.4,7.19627E+18,颜值达人,1300733,30000,0.37,0.03,0.11,0.23,0.62,53.94,0,4607,0.2262,0.0409,28.78793026,6511.83,4.3,C级
波波选车,,15.2,7.25296E+18,汽车,1320883,60000,0.85,0.33,0.33,0.09,0.03,68.46,0,3678,0.5253,0.0317,31.05504227,16313.21,8.4,A级
车圈志玲,,7.6,7.2466E+18,汽车,1425197,30000,0.62,0.02,0.07,0.11,0.8,63.41,0,21986,0,,3E+13,1364.5,3.2,C级
苑一,,22,6.85822E+18,剧情搞笑,1637763,21900,0.65,0.04,0.21,0.3,0.43,69.08,71.44266329,5339,0.0104,0.1299,394.4126673,4101.89,7.9,A级
苏大星,,58.2,7.2081E+18,汽车,1389301,80000,0.78,0.15,0.34,0.2,0.09,68.51,0,35643,0.0721,0.2361,31.13009684,2244.48,8.4,A级
楠楠日记（看车版）,,0.4,6.87017E+18,汽车,1353205,40000,0.54,0.08,0.38,0.3,0.23,50.02,0,2991,0,,4E+13,13373.45,4.6,C级
萱儿说车,,4.5,6.99847E+18,汽车,1275968,50000,0.48,0.04,0.29,0.36,0.3,53.42,60,30241,0.3128,0.0519,5.285756004,1653.38,6.8,B级
椰椰子美眉,,1,7.2011E+18,汽车,1220391,30000,0.45,0.03,0.13,0.29,0.55,55.24,0,8920,0.2837,0.0081,11.85487733,3363.23,4.1,C级
极客小腾,,4.5,6.88378E+18,汽车,1269157,19300,0.36,0.08,0.4,0.16,0.34,62.53,68.79297195,3293,0.0768,0.0437,76.3140247,5860.92,7.9,A级
灵总说车,,6.9,6.62966E+18,"汽车, 测评",1395943,50000,0.36,0.15,0.58,0.16,0.08,50.04,50.36648975,13288,0.3527,0.0123,10.66853841,3762.79,6,B级
张吃鱼,,1,7.25708E+18,"旅行, 汽车",1498432,59888,0.82,0.01,0.12,0.33,0.53,55.59,0,2508,1,0.0158,23.87878788,23878.79,5,B级
哇哦姐姐🌸,,22.2,6.67526E+18,汽车,1341150,80000,0.91,0.3,0.3,0.09,0.03,69.81,68.1814638,24784,0.0551,0.0696,58.58237678,3227.89,9.4,A级
Cici爱玩车,,10.8,7.08163E+18,"汽车, 测评",1449456,33000,0.51,0.03,0.16,0.4,0.41,67.62,58.47892741,34691,0,,3.3E+13,951.26,3.2,C级
鲁宁说车,,69.3,7.28081E+18,汽车,1692624,100000,0.81,0.05,0.23,0.23,0.09,65.5,0,10709,0.0524,0.1841,178.2049628,9337.94,6.9,B级
车圈闫三岁,,143.2,6.89456E+18,汽车,1584728,60000,0.17,0.13,0.24,0.15,0.11,60.82,68.95542779,5226,0.0131,0.052,876.4165082,11481.06,6.4,B级
我是真的贾同学,,2.8,6.9688E+18,汽车,1310852,50000,0.65,0.02,0.06,0.07,0.84,48.59,60,4456,0,,5E+13,11220.83,2.6,C级
超哥不超车,,16.1,7.07379E+18,汽车,1329070,70000,0.61,0.06,0.38,0.35,0.21,70.11,0,7728,0.3096,0.0141,29.25701232,9057.97,8.8,A级
小J体验馆,,0.6,6.91586E+18,汽车,1212644,30000,0.8,0.26,0.45,0.14,0.03,57.77,68.86610162,9215,0.0022,0.0068,1479.80072,3255.56,5.6,B级
巧嘴小岳岳,,9.1,6.87017E+18,汽车,1223038,14900,0.62,0.04,0.3,0.37,0.28,63.65,65.09132856,2128,0,,1.49E+13,7001.88,5.2,B级
AutoLab碰碰车,,26.2,6.93203E+18,汽车,1221839,150000,0.87,0.28,0.33,0.1,0.04,62.2,65.59526139,8695,0.0082,0.1619,2103.816323,17251.29,9.4,A级
农机视频,,898.2,6.87017E+18,三农,1338410,0,0.93,0.11,0.34,0.27,0.26,79.22,69.14925244,361199,0.0135,0.0569,0,,12.6,S级
途虎养车网百科,,421.8,6.62966E+18,汽车,1498908,0,0.82,0.28,0.42,0.13,0.04,76.93,68.21082664,8240,0.018,0.1567,0,,12.6,S级
北京现代,,211.3,6.67509E+18,"其他, 汽车, 科技数码",1592532,0,0.57,0.09,0.26,0.19,0.43,66.67,58.92560395,10962,0.0963,0.0267,0,,8.6,A级
曹安同学,,6,7.22001E+18,汽车,1326561,120000,0.84,0.02,0.09,0.28,0.61,60.5,0,2809,0.9687,0.0214,44.10016426,42719.83,5.6,B级
汽车梗百科,,761.7,6.87017E+18,汽车,1467734,0,0.86,0.26,0.43,0.14,0.06,79.56,0,17459,0.0033,0.1578,0,,10.4,S级
TESLA特斯拉,,168.4,6.81548E+18,汽车,1365311,0,0.91,0.28,0.49,0.11,0.03,75.05,67.58331055,38757,0.0134,0.2265,0,,12.6,S级
李子车品@,,23.8,6.84186E+18,生活,1251229,0,0.84,0.05,0.29,0.38,0.27,74.02,80.7950513,3077,0.0062,0.257,0,,11.8,S级
想开坦克的舒克,,0.7,6.69566E+18,汽车,1379839,0,0.81,0.15,0.49,0.26,0.08,54.19,46.01743228,0,0,,0,,6.6,B级
小邱不开车,,58,7.31274E+18,汽车,1385956,80000,0.83,0.28,0.44,0.11,0.03,65.86,0,11602,0.0811,0.0479,85.02297002,6895.36,8.4,A级
哈尔滨广申奥迪,,5.2,6.84071E+18,舞蹈,1577345,0,0.81,0.21,0.53,0.17,0.05,65.05,65.95521851,298309,0,,0,,8.2,A级
长安汽车,,26.1,6.79657E+18,汽车,1559468,0,0.64,0.12,0.26,0.15,0.42,67.8,67.48661016,5933,0.0197,0.0228,0,,9.6,A级
车坛老王品牌2手车,,283.9,6.86752E+18,汽车,1467075,0,0.86,0.11,0.4,0.27,0.21,69.44,67.9086167,161469,0.0118,0.0571,0,,11.4,S级
DJ初仔大朋友,,710.2,6.77366E+18,汽车,2573075,82000,0.83,0.34,0.42,0.1,0.03,87.47,78.58988211,1382133,0.0169,0.1255,3.510567366,59.33,14.6,S级
